FullName NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
67 BrentEdwards 1197.49999274965 1197.49999274965 1197.49999274965 1197.49999274965 1197.49999274965 1382.6011925591 1382.6011925591 1382.6011925591 1382.6011925591 1382.6011925591 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
68 BrentonGray NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1152.85776353519 NA NA NA
69 BrianaSteven 1006.71955158245 1006.71955158245 1006.71955158245 1006.71955158245 1006.71955158245 1191.82075139187 1191.82075139187 1191.82075139187 1191.82075139187 1191.82075139187 NA NA 1217.79802204695 NA NA 1138.07830076539 NA NA 1217.79802204695 NA 1208.54296205646 NA 1247.1407690622 NA NA NA NA NA NA NA
70 BronwynHolcombe 769.87415273538 769.87415273538 769.87415273538 769.87415273538 769.87415273538 954.975352544808 954.975352544808 954.975352544808 954.975352544808 954.975352544808 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
71 BrookeCarpenter NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1168.89171238514 NA NA NA NA NA NA
72 BruceHoride 828.138962220849 828.138962220849 828.138962220849 828.138962220849 828.138962220849 1013.24016203028 1013.24016203028 1013.24016203028 1013.24016203028 1013.24016203028 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
73 BruceMcCormick NA NA NA NA NA NA NA NA NA NA NA NA NA 718.866151651532 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
74 BrucePeat 974.957868433326 974.957868433326 974.957868433326 974.957868433326 974.957868433326 1160.05906824275 1160.05906824275 1160.05906824275 1160.05906824275 1160.05906824275 NA NA NA NA NA NA NA 1111.04931874776 NA NA NA NA NA NA NA NA NA NA NA NA
75 BruceSteven 1039.11226154909 1039.11226154909 1039.11226154909 1039.11226154909 1039.11226154909 1224.21346135852 1224.21346135852 1224.21346135852 1224.21346135852 1224.21346135852 NA 1252.92518155622 NA NA NA 1220.74281386208 NA NA 1188.98113071298 NA NA NA NA NA NA 1198.73167108383 1206.00334600281 NA NA 1132.26788692833
76 BruceWorsley NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1037.54662389297 NA NA NA NA NA
77 BrynDavies 1032.59165110127 1032.59165110127 1032.59165110127 1032.59165110127 1032.59165110127 1217.69285091069 1217.69285091069 1217.69285091069 1217.69285091069 1217.69285091069 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
78 BunnyRathbone 337.200098180843 337.200098180843 337.200098180843 337.200098180843 337.200098180843 522.301297990271 522.301297990271 522.301297990271 522.301297990271 522.301297990271 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
79 CallumCleary 1145.54545143951 1145.54545143951 1145.54545143951 1145.54545143951 1145.54545143951 1330.64665124893 1330.64665124893 1330.64665124893 1330.64665124893 1330.64665124893 NA 1321.07607784971 NA NA NA 1364.82727053194 NA 1374.18750165865 NA NA NA NA NA NA NA NA NA NA NA NA
80 CallumHill 1122.40780146334 1122.40780146334 1122.40780146334 1122.40780146334 1122.40780146334 1307.50900127276 1307.50900127276 1307.50900127276 1307.50900127276 1307.50900127276 NA 1346.5274928235 NA NA 1375.44955529372 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
81 CalumSutherland 1097.79775557959 1097.79775557959 1097.79775557959 1097.79775557959 1097.79775557959 1282.89895538901 1282.89895538901 1282.89895538901 1282.89895538901 1282.89895538901 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1265.17700822651 1269.11372518311 NA NA NA
82 CameronBonar NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1173.32902293311 1082.30888553635 1167.48102173059
83 CamerondeL'Isle 1194.76554320702 1194.76554320702 1194.76554320702 1194.76554320702 1194.76554320702 1379.86674301643 1379.86674301643 1379.86674301643 1379.86674301643 1379.86674301643 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
84 CameronLamont 887.034798523847 887.034798523847 887.034798523847 887.034798523847 887.034798523847 1072.13599833326 1072.13599833326 1072.13599833326 1072.13599833326 1072.13599833326 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
85 CameronTier 1219.58593136329 1219.58593136329 1219.58593136329 1219.58593136329 1219.58593136329 1404.68713117271 1404.68713117271 1404.68713117271 1404.68713117271 1404.68713117271 NA NA NA NA NA NA NA 1381.8649946053 NA NA NA NA NA NA NA NA NA NA NA NA
86 CampbellSyme 758.936354564823 758.936354564823 758.936354564823 758.936354564823 758.936354564823 944.037554374252 944.037554374252 944.037554374252 944.037554374252 944.037554374252 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
87 CaraBradding NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1059.8309753914 NA NA NA NA NA NA NA NA NA NA
88 CareyNazzer 960.023567085066 960.023567085066 960.023567085066 960.023567085066 960.023567085066 1145.12476689448 1145.12476689448 1145.12476689448 1145.12476689448 1145.12476689448 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
89 CarlEmilSchÃ¸ierKovsted NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA 1329.91045329516 NA NA NA 1393.11830618464 NA NA NA NA NA NA NA NA
90 CarolRamsden 773.02928682304 773.02928682304 773.02928682304 773.02928682304 773.02928682304 958.13048663247 958.13048663247 958.13048663247 958.13048663247 958.13048663247 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
91 CarolyneNel 957.920144359957 957.920144359957 957.920144359957 957.920144359957 957.920144359957 1143.02134416939 1143.02134416939 1143.02134416939 1143.02134416939 1143.02134416939 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
92 CarstenJoergensen 1230.94441407886 1230.94441407886 1230.94441407886 1230.94441407886 1230.94441407886 1416.04561388829 1416.04561388829 1416.04561388829 1416.04561388829 1416.04561388829 NA 1318.23645717081 NA NA NA 1411.73359730181 NA 1391.7510814133 NA NA NA 1377.55297801883 NA NA NA 1332.22639388869 1276.76346811404 NA NA 1266.80011989082
